Fp1,Fp2,F3,F4,F7,F8,T3,T4,C3,C4,T5,T6,P3,P4,O1,O2,target
-8.867,-10.744,-6.2867,-6.0914,-13.927,-4.0404,-0.06667,-11.837,-5.9406,-14.209,-2.8243,-34.992001,-10.05,-28.778999,-21.945999,-37.373001,0
-14.778,-14.628,-11.468,-9.1371,-14.917,-4.0404,-7.0667,-7.935,-14.851,-12.189,-11.691,-22.309,-16.08,-22.837999,-18.118,-30.476,0
-13.793,-15.599,-13.541,-9.1371,-15.908,-4.0404,-10.067,-0.13008,-9.901,-5.1178,-15.632,-3.7724,-14.07,-8.9769,-18.118,-12.742,0
-13.793,-14.628,-6.2867,-3.0457,-12.937,-5.0505,-8.0667,5.7236,1.9802,5.9933,-5.78,11.837,2.0101,8.8449,-15.247,9.9179,0
-5.9113,-8.8026,5.1123,5.0761,-4.0264,-1.0101,7.9333,14.504,20.792,20.135,12.939,27.447001,23.115999,27.657,-10.463,28.636999,0
-7.8818,-6.8608,9.2573,10.152,-8.9769,4.0404,12.933,18.407,28.712999,26.195,28.702999,34.276001,36.181,37.557999,-6.6348,37.504002,0
-6.8966,-6.8608,5.1123,6.0914,-7.9868,3.0303,10.933,13.528,21.782,22.155001,27.718,29.398001,31.156,33.597,-11.419,29.622,0
-9.8522,-10.744,-0.06909,2.0305,-7.9868,-4.0404,7.9333,4.748,12.871,13.064,22.791,17.691,22.111,22.705999,-21.945999,19.77,0
-4.9261,-5.89,-1.1054,2.0305,-6.0066,0,4.9333,6.6992,13.861,13.064,20.820999,12.813,15.075,16.766001,-19.075001,12.874,0
-3.9409,-2.9773,0.96718,3.0457,-3.0363,-1.0101,5.9333,5.7236,7.9208,11.044,13.924,2.0813,4.0201,5.8746,-18.118,-2.89,0
-4.9261,-7.8317,-2.1416,0,1.9142,-4.0404,7.9333,1.8211,5.9406,5.9933,6.0427,-11.577,-3.0151,-6.0066,-18.118,-20.624001,0
-5.9113,-6.8608,-3.1779,0,-6.0066,-3.0303,7.9333,1.8211,8.9109,3.9731,2.1018,-15.48,-2.0101,-9.967,-11.419,-25.549999,0
-2.9557,-3.9482,4.076,5.0761,-0.06601,1.0101,15.933,12.553,19.802,16.094,12.939,2.0813,14.07,3.8944,-12.376,-3.8752,0
-1.9704,-0.06472,8.2211,9.1371,-2.0462,7.0707,16.933001,18.407,24.752001,23.165001,19.836,18.667,25.125999,19.736,-14.29,19.77,0
-7.8818,-4.9191,-2.1416,1.0152,-6.0066,5.0505,9.9333,10.602,14.851,18.114,17.865,23.545,26.131001,25.677,-21.945999,32.577999,0
-5.9113,-3.9482,2.0035,5.0761,0.92409,4.0404,13.933,13.528,22.771999,26.195,28.702999,37.202999,37.186001,41.518002,-18.118,48.341999,0
-2.9557,-0.06472,5.1123,10.152,4.8845,9.0909,16.933001,17.431,25.743,30.236,33.629002,39.153999,40.201,44.487999,-11.419,47.355999,0
-6.8966,-4.9191,-8.3592,1.0152,-7.9868,2.0202,4.9333,5.7236,6.9307,16.094,14.91,18.667,18.09,25.677,-14.29,18.785,0
-11.823,-6.8608,-10.432,-1.0152,-14.917,0,-8.0667,-0.13008,-3.9604,9.0236,0.13136,0.13008,1.005,6.8647,-20.032,-7.8161,0
0,3.8188,-1.1054,8.1218,-11.947,10.101,-10.067,9.626,2.9703,13.064,-5.78,-6.6992,-5.0251,-1.0561,-24.816999,-22.594,0
-4.9261,2.8479,-1.1054,8.1218,-9.967,13.131,-7.0667,8.6504,-4.9505,5.9933,-14.647,-18.407,-20.101,-13.927,-22.903,-35.402,0
-9.8522,-2.9773,-11.468,1.0152,-20.858,17.172001,-9.0667,1.8211,-13.861,-3.0976,-22.528999,-25.236,-31.156,-22.837999,-16.204,-37.373001,0
-16.749001,-6.8608,-17.686001,-3.0457,-29.768999,10.101,-15.067,-4.0325,-15.842,-7.138,-22.528999,-25.236,-28.141001,-22.837999,-13.333,-27.521,0
-14.778,-6.8608,-15.613,-4.0609,-18.878,7.0707,-10.067,-0.13008,-11.881,-1.0774,-14.647,-12.553,-14.07,-9.967,-13.333,-6.8309,0
-11.823,-2.9773,-6.2867,6.0914,-16.898001,13.131,-4.0667,12.553,1.9802,12.054,0.13136,8.9106,7.0352,10.825,-20.989,17.799999,0
-13.793,-4.9191,-7.323,6.0914,-20.858,13.131,-3.0667,15.48,6.9307,17.104,5.0575,20.618,14.07,21.716,-13.333,25.681,0
-17.733999,-8.8026,-6.2867,6.0914,-23.827999,9.0909,-1.0667,15.48,7.9208,18.114,8.9984,26.472,19.094999,26.667,-8.5486,30.608,0
-14.778,-7.8317,-5.2504,5.0761,-20.858,7.0707,-4.0667,12.553,6.9307,17.104,9.9836,23.545,17.084999,25.677,-18.118,24.695999,0
-9.8522,-5.89,-0.06909,7.1066,-15.908,3.0303,3.9333,5.7236,8.9109,13.064,11.954,13.789,14.07,16.766001,-12.376,11.888,0
-12.808,-7.8317,-0.06909,2.0305,-13.927,1.0101,5.9333,-3.0569,7.9208,2.963,7.0279,-6.6992,4.0201,-2.0462,-3.764,-11.757,0
-19.704,-14.628,-10.432,-8.1218,-20.858,-7.0707,-6.0667,-13.789,-5.9406,-11.178,-12.677,-30.114,-20.101,-24.818001,-2.807,-37.373001,0
-18.719,-14.628,-10.432,-7.1066,-15.908,-6.0606,-7.0667,-11.837,-9.901,-11.178,-21.544001,-34.992001,-30.150999,-30.759001,-8.5486,-45.255001,0
-11.823,-7.8317,-7.323,-2.0305,-16.898001,-1.0101,-7.0667,-5.9837,-6.9307,-4.1077,-23.514,-27.187,-28.141001,-22.837999,-13.333,-36.388,0
-14.778,-9.7735,-5.2504,-1.0152,-18.878,-3.0303,-8.0667,-4.0325,0,-0.06734,-15.632,-13.528,-15.075,-10.957,1.0207,-13.727,0
-17.733999,-14.628,-7.323,-3.0457,-18.878,-4.0404,-4.0667,-0.13008,2.9703,3.9731,-4.7947,4.0325,0,3.8944,11.547,13.859,0
-22.66,-17.540001,-9.3955,-5.0761,-22.837999,-5.0505,0.93333,2.7967,5.9406,7.0034,8.9984,16.715,16.08,16.766001,10.59,34.548,0
-19.704,-15.599,-10.432,-5.0761,-20.858,-4.0404,4.9333,5.7236,8.9109,10.034,18.851,25.496,27.136,26.667,5.8054,43.415001,0
-19.704,-12.686,-7.323,0,-22.837999,-2.0202,3.9333,7.6748,10.891,14.074,21.806,27.447001,30.150999,31.617001,-0.89314,38.488998,0
-20.690001,-14.628,-8.3592,0,-27.789,-2.0202,-2.0667,8.6504,11.881,17.104,17.865,23.545,25.125999,28.646999,-5.6778,23.711,0
-20.690001,-11.715,-5.2504,4.0609,-20.858,4.0404,1.9333,9.626,7.9208,15.084,12.939,15.74,18.09,20.726,-11.419,10.903,0
-20.690001,-13.657,-10.432,-1.0152,-19.868,3.0303,-1.0667,5.7236,-0.9901,7.0034,3.087,4.0325,5.0251,6.8647,-7.5917,-3.8752,0
-22.66,-14.628,-11.468,-4.0609,-26.799,-3.0303,-11.067,-0.13008,-0.9901,-0.06734,-2.8243,-8.6504,-3.0151,-6.9967,-5.6778,-16.683001,0
-19.704,-13.657,-10.432,-4.0609,-25.809,-3.0303,-7.0667,-3.0569,-2.9703,-1.0774,-4.7947,-15.48,-8.0402,-11.947,-11.419,-20.624001,0
-17.733999,-12.686,-7.323,-1.0152,-21.848,-1.0101,-3.0667,-0.13008,-5.9406,3.9731,-8.7356,-8.6504,-12.06,-5.0165,-13.333,-12.742,0
-18.719,-14.628,-10.432,-1.0152,-26.799,-3.0303,-8.0667,2.7967,-8.9109,8.0135,-13.662,0.13008,-14.07,2.9043,-14.29,-2.89,0
-18.719,-16.57,-10.432,-1.0152,-25.809,-5.0505,-13.067,4.748,-5.9406,11.044,-15.632,8.9106,-12.06,9.835,-15.247,7.9475,0
-17.733999,-10.744,-8.3592,4.0609,-18.878,0,-5.0667,9.626,0,16.094,-7.7504,18.667,1.005,19.736,-7.5917,20.754999,0
-13.793,-6.8608,-4.2142,7.1066,-16.898001,4.0404,1.9333,10.602,8.9109,18.114,7.0279,23.545,18.09,26.667,-8.5486,30.608,0
-21.674999,-15.599,-9.3955,-1.0152,-20.858,-3.0303,-3.0667,3.7724,7.9208,9.0236,12.939,15.74,23.115999,21.716,-10.463,27.652,0
-20.690001,-18.511,-13.541,-6.0914,-24.818001,-5.0505,-5.0667,1.8211,9.901,7.0034,15.895,13.789,23.115999,19.736,-0.89314,21.740999,0
-25.615999,-21.424,-15.613,-8.1218,-28.778999,-8.0808,-4.0667,-1.1057,0.9901,1.9529,11.954,6.9593,15.075,12.805,1.0207,10.903,0
-21.674999,-18.511,-13.541,-5.0761,-23.827999,-4.0404,2.9333,0.84553,0,2.963,8.0131,4.0325,7.0352,7.8548,-2.807,1.0509,0
-22.66,-15.599,-8.3592,-2.0305,-24.818001,-1.0101,1.9333,2.7967,0.9901,1.9529,2.1018,2.0813,0,2.9043,-7.5917,-3.8752,0
